neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
Manhattan,East Village,40.72208,-73.98109000000001,Private room,1,116,4.07,2,238,73
Manhattan,Nolita,40.72206,-73.99695,Entire home/apt,4,0,0.0,1,317,189
Staten Island,Fort Wadsworth,40.595459999999996,-74.06092,Entire home/apt,7,0,0.0,3,365,800
Manhattan,Upper East Side,40.77854,-73.94984000000001,Entire home/apt,31,7,0.3,33,345,265
Brooklyn,Bedford-Stuyvesant,40.69854,-73.94069,Private room,2,4,0.21,1,0,50
Brooklyn,Bushwick,40.696,-73.92964,Private room,3,0,0.0,1,0,65
Queens,Woodside,40.74361,-73.90758000000001,Private room,30,0,0.0,103,249,38
Manhattan,Harlem,40.81857,-73.9402,Entire home/apt,2,18,1.45,1,0,100
Brooklyn,Bushwick,40.70322,-73.92913,Private room,1,16,0.32,5,345,110
Brooklyn,Red Hook,40.67795,-74.00747,Entire home/apt,2,17,1.68,1,81,200
Queens,Ozone Park,40.68792,-73.83752,Entire home/apt,1,22,0.49,1,130,79
Brooklyn,Williamsburg,40.71386,-73.9634,Entire home/apt,7,29,1.45,1,284,350
Manhattan,Washington Heights,40.850429999999996,-73.936,Entire home/apt,4,0,0.0,1,0,110
Manhattan,East Village,40.72818,-73.98075,Entire home/apt,3,2,0.31,1,0,225
Brooklyn,Bushwick,40.69992,-73.92013,Private room,30,1,0.38,17,326,50
Manhattan,East Village,40.7295,-73.98398,Entire home/apt,5,1,0.02,1,0,100
Manhattan,East Harlem,40.79733,-73.93695,Private room,2,0,0.0,1,0,75
Bronx,Longwood,40.82639,-73.90363,Private room,1,0,0.0,1,0,680
Brooklyn,Williamsburg,40.710390000000004,-73.96139000000001,Private room,1,44,2.19,4,77,400
Queens,Ridgewood,40.701609999999995,-73.90484000000001,Private room,2,3,2.65,1,0,42
Manhattan,Upper West Side,40.800329999999995,-73.96509,Entire home/apt,90,54,0.86,1,153,150
Brooklyn,Bay Ridge,40.63554,-74.02421,Private room,28,7,0.55,1,264,35
Brooklyn,Sunset Park,40.66222,-73.99566999999999,Private room,1,0,0.0,3,0,85
Manhattan,Chinatown,40.71714,-73.99229,Entire home/apt,1,23,3.77,1,23,200
Brooklyn,Williamsburg,40.71385,-73.93739000000001,Private room,3,5,0.21,1,0,45
Brooklyn,Crown Heights,40.67354,-73.95149,Private room,1,1,0.05,2,0,41
Brooklyn,Bedford-Stuyvesant,40.69551,-73.94565,Private room,3,21,2.7,1,73,93
Queens,Arverne,40.59633,-73.80083,Entire home/apt,2,58,4.59,1,349,50
Brooklyn,South Slope,40.66317,-73.98465,Entire home/apt,1,2,0.07,2,0,175
Manhattan,Chelsea,40.74845,-73.99257,Private room,1,22,7.67,9,315,100
Manhattan,East Harlem,40.806509999999996,-73.93776,Shared room,1,4,0.08,1,0,60
Brooklyn,Williamsburg,40.71515,-73.95251999999999,Private room,3,2,0.32,1,223,70
Queens,Forest Hills,40.7269,-73.83952,Private room,2,42,0.74,3,334,95
Manhattan,Harlem,40.81961,-73.94583,Entire home/apt,2,145,5.0,2,127,175
Manhattan,Upper East Side,40.77516,-73.95224,Entire home/apt,1,18,0.95,1,180,160
Brooklyn,Bushwick,40.68782,-73.91071,Entire home/apt,20,4,0.55,1,165,149
Manhattan,East Village,40.72537,-73.99054,Entire home/apt,2,0,0.0,2,0,250
Manhattan,Harlem,40.81674,-73.95291999999999,Shared room,1,23,0.81,2,0,65
Manhattan,Midtown,40.75488,-73.97134,Entire home/apt,7,0,0.0,1,0,1200
Brooklyn,Bedford-Stuyvesant,40.68692,-73.94699,Entire home/apt,2,7,2.08,1,68,99
Brooklyn,Williamsburg,40.708059999999996,-73.94224,Private room,3,1,0.05,1,0,60
Brooklyn,Williamsburg,40.71815,-73.94189,Entire home/apt,2,46,2.97,1,239,190
Manhattan,Upper West Side,40.78707,-73.9769,Entire home/apt,2,0,0.0,1,0,215
Brooklyn,Crown Heights,40.67933,-73.96305,Entire home/apt,5,3,0.12,1,0,300
Queens,Astoria,40.75732,-73.91557,Entire home/apt,3,0,0.0,1,227,135
Brooklyn,Bushwick,40.69107,-73.91995,Private room,3,12,0.65,2,0,70
Manhattan,Upper West Side,40.77424,-73.98827,Entire home/apt,30,7,2.73,25,274,260
Brooklyn,Prospect Heights,40.67722,-73.96542,Private room,1,147,1.57,1,293,55
Manhattan,East Village,40.72658,-73.98803000000001,Private room,1,20,2.83,1,67,115
Brooklyn,Greenpoint,40.72555,-73.95323,Entire home/apt,3,122,3.63,1,54,176
Manhattan,Hell's Kitchen,40.76142,-73.99431,Entire home/apt,3,1,1.0,1,5,390
Manhattan,Theater District,40.7612,-73.98631,Entire home/apt,4,12,0.38,1,26,400
Bronx,Parkchester,40.83735,-73.85996999999999,Entire home/apt,3,30,0.69,1,357,139
Brooklyn,East Flatbush,40.65058,-73.94859,Private room,2,63,1.52,2,316,54
Brooklyn,Kensington,40.6461,-73.97332,Entire home/apt,2,3,0.08,1,351,85
Manhattan,Lower East Side,40.721309999999995,-73.98527,Private room,3,210,3.01,1,256,100
Manhattan,Harlem,40.82226,-73.95569,Private room,1,68,5.86,3,310,62
Staten Island,Randall Manor,40.62845,-74.12294,Entire home/apt,2,1,1.0,2,342,99
Manhattan,Chelsea,40.74085,-74.00379000000001,Private room,4,34,2.24,2,20,80
Manhattan,Kips Bay,40.740809999999996,-73.98018,Entire home/apt,5,1,0.03,1,0,200
Brooklyn,Sunset Park,40.66482,-73.99609,Entire home/apt,1,164,4.25,1,340,199
Brooklyn,Prospect-Lefferts Gardens,40.655,-73.95975,Entire home/apt,2,119,2.42,1,243,190
Manhattan,Upper East Side,40.78497,-73.95201,Entire home/apt,4,7,0.69,1,0,150
Manhattan,Hell's Kitchen,40.76704,-73.98484,Entire home/apt,60,5,0.42,1,76,115
Manhattan,Gramercy,40.73661,-73.98706,Entire home/apt,7,0,0.0,1,365,1000
Brooklyn,Park Slope,40.68193,-73.97807,Entire home/apt,5,1,0.02,1,0,150
Brooklyn,Park Slope,40.67505,-73.98045,Private room,3,0,0.0,1,0,95
Brooklyn,Bedford-Stuyvesant,40.684129999999996,-73.92357,Entire home/apt,7,139,1.23,2,311,125
