,Random Forest,XGBoost,LightGBM
neighbourhood_group,0.007678257110933871,0.081334114,0.0023333333333333335
neighbourhood,0.09611192778011673,0.12172766,0.088
latitude,0.1889288871912634,0.08363125,0.166
longitude,0.2600243615166008,0.10671734,0.173
room_type,0.10252510752713756,0.29362655,0.035333333333333335
minimum_nights,0.09843634905291379,0.07264902,0.15333333333333332
number_of_reviews,0.03197136995892088,0.05466878,0.06833333333333333
reviews_per_month,0.05388950607151069,0.04358177,0.064
calculated_host_listings_count,0.07695569928345806,0.09374959,0.089
availability_365,0.08347853450714418,0.048313867,0.16066666666666668
